Amount;EdgeAL;Random;P100;P99;ENT;CONF;MCDR;RMCDR;MAXRPR;CEAL;MAR.;CORESET
1;0.43958988785743713;0.4552285671234131;0.8351653949780897;0.8268;0.44803643226623535;0.44310933351516724;0.4432210624217987;0.4563949704170227;0.44581320881843567;0.4515456259250641;0.42743372917175293;0.3749980628490448
12;0.8238735795021057;0.6177923679351807;0.8351653949780897;0.8268;0.5035902857780457;0.5169045925140381;0.4737904369831085;0.486205130815506;0.579085111618042;0.6044891476631165;0.516814649105072;0.44214919209480286
22;0.829777717590332;0.7457577586174011;0.8351653949780897;0.8268;0.5573352575302124;0.570610761642456;0.6641004085540771;0.6692667603492737;0.6617600917816162;0.562734067440033;0.5532833337783813;0.6086203455924988
33;0.8100855946540833;0.6892961263656616;0.8351653949780897;0.8268;0.648410439491272;0.6906294822692871;0.633831262588501;0.5926494002342224;0.6220518350601196;0.6356447339057922;0.6191896200180054;0.5483148694038391
43;0.8301144242286682;0.7632192373275757;0.8351653949780897;0.8268;0.6923526525497437;0.7155899405479431;0.7106906175613403;0.6934680938720703;0.8026988506317139;0.802358090877533;0.7061207294464111;0.7161448001861572
54;0.8159272074699402;0.7941454648971558;0.8351653949780897;0.8268;0.792568027973175;0.7877452373504639;0.8087337613105774;0.8181865811347961;0.8157029151916504;0.8178414702415466;0.7857144474983215;0.8065621256828308
65;0.8227227330207825;0.8256586790084839;0.8351653949780897;0.8268;0.8285831212997437;0.8281981348991394;0.8257239460945129;0.8244466185569763;0.8051775693893433;0.8124957084655762;0.8024970889091492;0.795133113861084
75;0.8214316964149475;0.8330876231193542;0.8351653949780897;0.8268;0.8334116339683533;0.8359081745147705;0.828434944152832;0.8288941383361816;0.7941263914108276;0.8218967914581299;0.8301452398300171;0.8197094798088074
86;0.822614848613739;0.7927079796791077;0.8351653949780897;0.8268;0.8247016072273254;0.8268997669219971;0.8242105841636658;0.8360450863838196;0.8236002326011658;0.8326550722122192;0.8240139484405518;0.8312752842903137
97;0.8335209488868713;0.8332609534263611;0.8351653949780897;0.8268;0.8385602235794067;0.8377386331558228;0.8398213386535645;0.8370110988616943;0.8340110988616943;0.8283504247665405;0.8333972096443176;0.8341606855392456
